,average,average_past
0,315.7,
1,317.45,315.7
2,317.51,317.45
3,317.24,317.51
4,315.86,317.24
5,314.93,315.86
6,313.2,314.93
7,312.43,313.2
8,313.33,312.43
9,314.67,313.33
10,315.58,314.67
11,316.48,315.58
12,316.65,316.48
13,317.72,316.65
14,318.29,317.72
15,318.15,318.29
16,316.54,318.15
17,314.8,316.54
18,313.84,314.8
19,313.33,313.84
20,314.81,313.33
21,315.58,314.81
22,316.43,315.58
23,316.98,316.43
24,317.58,316.98
25,319.03,317.58
26,320.04,319.03
27,319.59,320.04
28,318.18,319.59
29,315.9,318.18
30,314.17,315.9
31,313.83,314.17
32,315.0,313.83
33,316.19,315.0
34,316.89,316.19
35,317.7,316.89
36,318.54,317.7
37,319.48,318.54
38,320.58,319.48
39,319.77,320.58
40,318.57,319.77
41,316.79,318.57
42,314.99,316.79
43,315.31,314.99
44,316.1,315.31
45,317.01,316.1
46,317.94,317.01
47,318.55,317.94
48,319.68,318.55
49,320.57,319.68
50,321.02,320.57
51,320.62,321.02
52,319.61,320.62
53,317.4,319.61
54,316.25,317.4
55,315.42,316.25
56,316.69,315.42
57,317.7,316.69
58,318.74,317.7
59,319.07,318.74
60,319.86,319.07
61,321.38,319.86
62,322.25,321.38
63,321.48,322.25
64,319.74,321.48
65,317.77,319.74
66,316.21,317.77
67,315.99,316.21
68,317.07,315.99
69,318.35,317.07
70,319.57,318.35
71,320.01,319.57
72,320.74,320.01
73,321.84,320.74
74,322.26,321.84
75,321.89,322.26
76,320.44,321.89
77,318.69,320.44
78,316.7,318.69
79,316.87,316.7
80,317.68,316.87
81,318.71,317.68
82,319.44,318.71
83,320.44,319.44
84,320.89,320.44
85,322.14,320.89
86,322.17,322.14
87,321.87,322.17
88,321.21,321.87
89,318.87,321.21
90,317.81,318.87
91,317.3,317.81
92,318.87,317.3
93,319.42,318.87
94,320.62,319.42
95,321.6,320.62
96,322.39,321.6
97,323.7,322.39
98,324.08,323.7
99,323.75,324.08
100,322.38,323.75
101,320.36,322.38
102,318.64,320.36
103,318.1,318.64
104,319.78,318.1
105,321.03,319.78
106,322.33,321.03
107,322.5,322.33
108,323.04,322.5
109,324.42,323.04
110,325.0,324.42
111,324.09,325.0
112,322.54,324.09
113,320.92,322.54
114,319.25,320.92
115,319.39,319.25
116,320.73,319.39
117,321.96,320.73
118,322.57,321.96
119,323.15,322.57
120,323.89,323.15
121,325.02,323.89
122,325.57,325.02
123,325.36,325.57
124,324.14,325.36
125,322.11,324.14
126,320.33,322.11
127,320.25,320.33
128,321.32,320.25
129,322.89,321.32
130,324.0,322.89
131,324.42,324.0
132,325.63,324.42
133,326.66,325.63
134,327.38,326.66
135,326.71,327.38
136,325.88,326.71
137,323.66,325.88
138,322.38,323.66
139,321.78,322.38
140,322.86,321.78
141,324.12,322.86
142,325.06,324.12
143,325.98,325.06
144,326.93,325.98
145,328.13,326.93
146,328.08,328.13
147,327.67,328.08
148,326.34,327.67
149,324.69,326.34
150,323.1,324.69
151,323.06,323.1
152,324.01,323.06
153,325.13,324.01
154,326.17,325.13
155,326.68,326.17
156,327.17,326.68
157,327.79,327.17
158,328.93,327.79
159,328.57,328.93
160,327.36,328.57
161,325.43,327.36
162,323.36,325.43
163,323.56,323.36
164,324.8,323.56
165,326.01,324.8
166,326.77,326.01
167,327.63,326.77
168,327.75,327.63
169,329.72,327.75
170,330.07,329.72
171,329.09,330.07
172,328.04,329.09
173,326.32,328.04
174,324.84,326.32
175,325.2,324.84
176,326.5,325.2
177,327.55,326.5
178,328.55,327.55
179,329.56,328.55
180,330.3,329.56
181,331.5,330.3
182,332.48,331.5
183,332.07,332.48
184,330.87,332.07
185,329.31,330.87
186,327.51,329.31
187,327.18,327.51
188,328.16,327.18
189,328.64,328.16
190,329.35,328.64
191,330.71,329.35
192,331.48,330.71
193,332.65,331.48
194,333.18,332.65
195,332.2,333.18
196,331.07,332.2
197,329.15,331.07
198,327.33,329.15
199,327.28,327.33
200,328.31,327.28
201,329.58,328.31
202,330.73,329.58
203,331.46,330.73
204,331.94,331.46
205,333.11,331.94
206,333.95,333.11
207,333.42,333.95
208,331.97,333.42
209,329.95,331.97
210,328.5,329.95
211,328.36,328.5
212,329.38,328.36
213,330.78,329.38
214,331.56,330.78
215,332.74,331.56
216,333.36,332.74
217,334.74,333.36
218,334.72,334.74
219,333.98,334.72
220,333.08,333.98
221,330.68,333.08
222,328.96,330.68
223,328.72,328.96
224,330.16,328.72
225,331.62,330.16
226,332.68,331.62
227,333.17,332.68
228,334.96,333.17
229,336.14,334.96
230,336.93,336.14
231,336.17,336.93
232,334.89,336.17
233,332.56,334.89
234,331.29,332.56
235,331.28,331.29
236,332.46,331.28
237,333.6,332.46
238,334.94,333.6
239,335.26,334.94
240,336.66,335.26
241,337.69,336.66
242,338.02,337.69
243,338.01,338.02
244,336.5,338.01
245,334.42,336.5
246,332.36,334.42
247,332.45,332.36
248,333.76,332.45
249,334.91,333.76
250,336.14,334.91
251,336.69,336.14
252,338.27,336.69
253,338.82,338.27
254,339.24,338.82
255,339.26,339.24
256,337.54,339.26
257,335.72,337.54
258,333.97,335.72
259,334.24,333.97
260,335.32,334.24
261,336.81,335.32
262,337.9,336.81
263,338.34,337.9
264,340.07,338.34
265,340.93,340.07
266,341.45,340.93
267,341.36,341.45
268,339.45,341.36
269,337.67,339.45
270,336.25,337.67
271,336.14,336.25
272,337.3,336.14
273,338.29,337.3
274,339.29,338.29
275,340.55,339.29
276,341.63,340.55
277,342.6,341.63
278,343.04,342.6
279,342.54,343.04
280,340.82,342.54
281,338.48,340.82
282,336.95,338.48
283,337.05,336.95
284,338.58,337.05
285,339.91,338.58
286,340.93,339.91
287,341.76,340.93
288,342.77,341.76
289,343.96,342.77
290,344.77,343.96
291,343.88,344.77
292,342.42,343.88
293,340.24,342.42
294,338.38,340.24
295,338.41,338.38
296,339.44,338.41
297,340.78,339.44
298,341.57,340.78
299,342.78,341.57
300,343.37,342.78
301,345.4,343.37
302,346.14,345.4
303,345.76,346.14
304,344.32,345.76
305,342.51,344.32
306,340.46,342.51
307,340.53,340.46
308,341.79,340.53
309,343.2,341.79
310,344.21,343.2
311,344.92,344.21
312,345.68,344.92
313,347.37,345.68
314,347.78,347.37
315,347.16,347.78
316,345.79,347.16
317,343.74,345.79
318,341.59,343.74
319,341.86,341.59
320,343.31,341.86
321,345.0,343.31
322,345.48,345.0
323,346.41,345.48
324,347.91,346.41
325,348.66,347.91
326,349.28,348.66
327,348.65,349.28
328,346.9,348.65
329,345.26,346.9
330,343.47,345.26
331,343.35,343.47
332,344.73,343.35
333,346.12,344.73
334,346.78,346.12
335,347.48,346.78
336,348.25,347.48
337,349.86,348.25
338,350.52,349.86
339,349.98,350.52
340,348.25,349.98
341,346.17,348.25
342,345.48,346.17
343,344.82,345.48
344,346.22,344.82
345,347.49,346.22
346,348.73,347.49
347,348.92,348.73
348,349.81,348.92
349,351.4,349.81
350,352.15,351.4
351,351.58,352.15
352,350.21,351.58
353,348.2,350.21
354,346.66,348.2
355,346.72,346.66
356,348.08,346.72
357,349.28,348.08
358,350.51,349.28
359,351.7,350.51
360,352.5,351.7
361,353.67,352.5
362,354.35,353.67
363,353.88,354.35
364,352.8,353.88
365,350.49,352.8
366,348.97,350.49
367,349.37,348.97
368,350.42,349.37
369,351.62,350.42
370,353.07,351.62
371,353.43,353.07
372,354.08,353.43
373,355.72,354.08
374,355.95,355.72
375,355.44,355.95
376,354.05,355.44
377,351.84,354.05
378,350.09,351.84
379,350.33,350.09
380,351.55,350.33
381,352.91,351.55
382,353.86,352.91
383,355.1,353.86
384,355.75,355.1
385,356.38,355.75
386,357.38,356.38
387,356.39,357.38
388,354.89,356.39
389,353.06,354.89
390,351.38,353.06
391,351.69,351.38
392,353.14,351.69
393,354.41,353.14
394,354.93,354.41
395,355.82,354.93
396,357.33,355.82
397,358.77,357.33
398,359.23,358.77
399,358.23,359.23
400,356.3,358.23
401,353.97,356.3
402,352.34,353.97
403,352.43,352.34
404,353.89,352.43
405,355.21,353.89
406,356.34,355.21
407,357.21,356.34
408,357.97,357.21
409,359.22,357.97
410,359.71,359.22
411,359.44,359.71
412,357.15,359.44
413,354.99,357.15
414,353.01,354.99
415,353.41,353.01
416,354.42,353.41
417,355.68,354.42
418,357.1,355.68
419,357.42,357.1
420,358.59,357.42
421,359.39,358.59
422,360.3,359.39
423,359.64,360.3
424,357.45,359.64
425,355.76,357.45
426,354.14,355.76
427,354.23,354.14
428,355.53,354.23
429,357.03,355.53
430,358.36,357.03
431,359.04,358.36
432,360.11,359.04
433,361.36,360.11
434,361.78,361.36
435,360.94,361.78
436,359.51,360.94
437,357.59,359.51
438,355.86,357.59
439,356.21,355.86
440,357.65,356.21
441,359.1,357.65
442,360.04,359.1
443,361.0,360.04
444,361.98,361.0
445,363.44,361.98
446,363.83,363.44
447,363.33,363.83
448,361.78,363.33
449,359.33,361.78
450,358.32,359.33
451,358.14,358.32
452,359.61,358.14
453,360.82,359.61
454,362.2,360.82
455,363.36,362.2
456,364.28,363.36
457,364.69,364.28
458,365.25,364.69
459,365.06,365.25
460,363.69,365.06
461,361.55,363.69
462,359.69,361.55
463,359.72,359.69
464,361.04,359.72
465,362.39,361.04
466,363.24,362.39
467,364.21,363.24
468,364.65,364.21
469,366.49,364.65
470,366.77,366.49
471,365.73,366.77
472,364.46,365.73
473,362.4,364.46
474,360.44,362.4
475,360.98,360.44
476,362.65,360.98
477,364.51,362.65
478,365.39,364.51
479,366.1,365.39
480,367.36,366.1
481,368.79,367.36
482,369.56,368.79
483,369.13,369.56
484,367.98,369.13
485,366.1,367.98
486,364.16,366.1
487,364.54,364.16
488,365.67,364.54
489,367.3,365.67
490,368.35,367.3
491,369.28,368.35
492,369.84,369.28
493,371.15,369.84
494,371.12,371.15
495,370.46,371.12
496,369.61,370.46
497,367.06,369.61
498,364.95,367.06
499,365.52,364.95
500,366.88,365.52
501,368.26,366.88
502,369.45,368.26
503,369.71,369.45
504,370.75,369.71
505,371.98,370.75
506,371.75,371.98
507,371.87,371.75
508,370.02,371.87
509,368.27,370.02
510,367.15,368.27
511,367.18,367.15
512,368.53,367.18
513,369.83,368.53
514,370.76,369.83
515,371.69,370.76
516,372.63,371.69
517,373.55,372.63
518,374.03,373.55
519,373.4,374.03
